position,Clinopyroxene Abundance,lon,lat
0,14.298375,24.891148,-10.025402
0.175819,13.820833,24.895186,-10.029622
0.351639,13.87938,24.899224,-10.033842
0.527458,14.331405,24.903263,-10.038061
0.703277,14.498761,24.907302,-10.04228
0.879097,13.906851,24.91134,-10.0465
1.054916,13.454429,24.915379,-10.050719
1.230735,13.410557,24.919417,-10.05494
1.406554,13.473417,24.923456,-10.059159
1.582374,13.736612,24.927495,-10.063378
1.758193,14.521645,24.931534,-10.067597
1.934012,14.350419,24.935573,-10.071817
2.109832,15.005843,24.939613,-10.076036
2.285651,14.707909,24.943652,-10.080255
2.46147,13.867612,24.947691,-10.084475
2.63729,13.751956,24.951731,-10.088694
2.813109,15.491687,24.95577,-10.092913
2.988928,16.834307,24.959811,-10.097131
3.164747,17.058801,24.963851,-10.10135
3.340567,16.000213,24.967891,-10.105569
3.516386,14.734257,24.97193,-10.109789
3.692205,14.452543,24.975971,-10.114007
3.868025,14.017358,24.980011,-10.118225
4.043844,13.970402,24.984051,-10.122445
4.219663,14.840328,24.988092,-10.126663
4.395483,15.603957,24.992132,-10.130882
4.571302,13.459314,24.996173,-10.135101
4.747121,11.722316,25.000214,-10.139319
4.92294,11.899787,25.004255,-10.143537
5.09876,12.755936,25.008296,-10.147756
5.274579,12.639731,25.012338,-10.151974
5.450398,12.026495,25.016378,-10.156193
5.626218,10.643239,25.02042,-10.160411
5.802037,11.858239,25.024462,-10.164629
5.977856,11.303963,25.028503,-10.168847
6.153676,9.603979,25.032545,-10.173065
6.329495,11.984156,25.036587,-10.177283
6.505314,11.718809,25.040629,-10.181501
6.681133,11.969095,25.044671,-10.185719
6.856953,12.407875,25.048713,-10.189937
7.032772,12.14601,25.052755,-10.194155
7.208591,11.223792,25.056797,-10.198373
7.384411,12.609599,25.06084,-10.20259
7.56023,13.243297,25.064882,-10.206809
7.736049,14.991746,25.068925,-10.211026
7.911869,17.576419,25.072967,-10.215244
8.087688,19.472593,25.077011,-10.219461
8.263507,17.882159,25.081053,-10.223679
8.439327,18.302217,25.085096,-10.227897
8.615146,16.883421,25.08914,-10.232114
8.790965,14.802558,25.093183,-10.236331
8.966784,15.031403,25.097227,-10.240548
9.142604,15.097398,25.101271,-10.244765
9.318423,14.433102,25.105314,-10.248983
9.494242,15.667097,25.109357,-10.2532
9.670062,17.482755,25.113402,-10.257417
9.845881,16.098069,25.117445,-10.261634
10.0217,15.637912,25.12149,-10.265851
10.19752,17.647382,25.125533,-10.270068
10.373339,19.264848,25.129578,-10.274285
10.549158,19.187613,25.133622,-10.278502
10.724977,16.770701,25.137667,-10.282719
10.900797,15.957065,25.141712,-10.286935
11.076616,15.446735,25.145756,-10.291152
11.252435,15.63857,25.149801,-10.295369
11.428255,14.476669,25.153846,-10.299586
11.604074,16.584733,25.157891,-10.303802
11.779893,15.864731,25.161936,-10.308019
11.955713,17.264408,25.165981,-10.312235
12.131532,15.782468,25.170026,-10.316452
12.307351,12.876238,25.174072,-10.320668
12.48317,11.25254,25.178118,-10.324884
12.65899,13.012702,25.182163,-10.329101
12.834809,13.970922,25.186209,-10.333317
13.010628,14.143667,25.190255,-10.337533
13.186448,14.298804,25.194301,-10.341749
13.362267,12.86702,25.198347,-10.345965
13.538086,13.061848,25.202393,-10.350181
