position,Olivine Abundance,lon,lat
0,2.155227,24.891148,-10.025402
0.175819,2.072594,24.895186,-10.029622
0.351639,2.129606,24.899224,-10.033842
0.527458,2.110586,24.903263,-10.038061
0.703277,2.197992,24.907302,-10.04228
0.879097,2.321611,24.91134,-10.0465
1.054916,2.5586,24.915379,-10.050719
1.230735,2.906945,24.919417,-10.05494
1.406554,2.956859,24.923456,-10.059159
1.582374,2.807316,24.927495,-10.063378
1.758193,2.521866,24.931534,-10.067597
1.934012,2.499714,24.935573,-10.071817
2.109832,2.343897,24.939613,-10.076036
2.285651,2.545594,24.943652,-10.080255
2.46147,2.841138,24.947691,-10.084475
2.63729,3.121148,24.951731,-10.088694
2.813109,2.640572,24.95577,-10.092913
2.988928,1.725419,24.959811,-10.097131
3.164747,1.70834,24.963851,-10.10135
3.340567,2.027858,24.967891,-10.105569
3.516386,2.383145,24.97193,-10.109789
3.692205,2.19272,24.975971,-10.114007
3.868025,2.478569,24.980011,-10.118225
4.043844,2.548733,24.984051,-10.122445
4.219663,2.259865,24.988092,-10.126663
4.395483,2.546863,24.992132,-10.130882
4.571302,2.289106,24.996173,-10.135101
4.747121,2.706935,25.000214,-10.139319
4.92294,2.498969,25.004255,-10.143537
5.09876,2.113828,25.008296,-10.147756
5.274579,2.483195,25.012338,-10.151974
5.450398,2.681656,25.016378,-10.156193
5.626218,3.260325,25.02042,-10.160411
5.802037,2.774793,25.024462,-10.164629
5.977856,3.190595,25.028503,-10.168847
6.153676,3.416493,25.032545,-10.173065
6.329495,1.801353,25.036587,-10.177283
6.505314,1.961299,25.040629,-10.181501
6.681133,2.465103,25.044671,-10.185719
6.856953,2.564991,25.048713,-10.189937
7.032772,2.53506,25.052755,-10.194155
7.208591,2.179592,25.056797,-10.198373
7.384411,1.543542,25.06084,-10.20259
7.56023,2.003268,25.064882,-10.206809
7.736049,2.364068,25.068925,-10.211026
7.911869,2.298912,25.072967,-10.215244
8.087688,1.817339,25.077011,-10.219461
8.263507,1.635919,25.081053,-10.223679
8.439327,1.801942,25.085096,-10.227897
8.615146,1.951142,25.08914,-10.232114
8.790965,2.059163,25.093183,-10.236331
8.966784,1.921894,25.097227,-10.240548
9.142604,1.659964,25.101271,-10.244765
9.318423,1.625562,25.105314,-10.248983
9.494242,1.363031,25.109357,-10.2532
9.670062,1.600826,25.113402,-10.257417
9.845881,2.267132,25.117445,-10.261634
10.0217,2.840287,25.12149,-10.265851
10.19752,2.241549,25.125533,-10.270068
10.373339,2.358063,25.129578,-10.274285
10.549158,2.209505,25.133622,-10.278502
10.724977,2.39776,25.137667,-10.282719
10.900797,2.231626,25.141712,-10.286935
11.076616,2.243326,25.145756,-10.291152
11.252435,2.37759,25.149801,-10.295369
11.428255,2.405023,25.153846,-10.299586
11.604074,2.265595,25.157891,-10.303802
11.779893,2.064548,25.161936,-10.308019
11.955713,1.674368,25.165981,-10.312235
12.131532,2.033159,25.170026,-10.316452
12.307351,1.888351,25.174072,-10.320668
12.48317,2.157786,25.178118,-10.324884
12.65899,1.798701,25.182163,-10.329101
12.834809,0.971688,25.186209,-10.333317
13.010628,0.959945,25.190255,-10.337533
13.186448,1.211102,25.194301,-10.341749
13.362267,1.566561,25.198347,-10.345965
13.538086,1.61861,25.202393,-10.350181
13.713906,1.58038,25.20644,-10.354397
13.889725,1.595844,25.210486,-10.358613
14.065544,1.53266,25.214533,-10.362829
14.241364,1.738245,25.218579,-10.367045
14.417183,2.054777,25.222627,-10.37126
14.593002,3.076933,25.226673,-10.375476
14.768821,2.838275,25.23072,-10.379692
14.944641,1.861834,25.234767,-10.383908
15.12046,1.451557,25.238814,-10.388123
15.296279,1.649412,25.242861,-10.392339
15.472099,1.648801,25.24691,-10.396554
15.647918,1.979664,25.250957,-10.400769
15.823737,2.00129,25.255004,-10.404985
15.999557,2.871402,25.259052,-10.4092
16.175376,2.548514,25.2631,-10.413415
16.351195,2.053876,25.267148,-10.417631
16.527014,1.692939,25.271196,-10.421846
16.702834,1.73255,25.275244,-10.426061
16.878653,1.286052,25.279293,-10.430276
17.054472,3.632104,25.283341,-10.434491
17.230292,4.075489,25.287389,-10.438706
17.406111,3.472767,25.291438,-10.442921
17.58193,2.905497,25.295487,-10.447136
17.75775,3.79967,25.299536,-10.45135
17.933569,3.082079,25.303584,-10.455565
18.109388,3.734164,25.307633,-10.45978
18.285207,3.681272,25.311683,-10.463994
18.461027,3.318226,25.315732,-10.468209
