position,Plagioclase Abundance,lon,lat
0,82.288253,24.891148,-10.025402
0.175819,81.956738,24.895186,-10.029622
0.351639,82.068898,24.899224,-10.033842
0.527458,81.140844,24.903263,-10.038061
0.703277,80.988439,24.907302,-10.04228
0.879097,81.545908,24.91134,-10.0465
1.054916,81.472268,24.915379,-10.050719
1.230735,81.641626,24.919417,-10.05494
1.406554,81.541354,24.923456,-10.059159
1.582374,81.579943,24.927495,-10.063378
1.758193,80.756375,24.931534,-10.067597
1.934012,80.90915,24.935573,-10.071817
2.109832,79.595285,24.939613,-10.076036
2.285651,78.96884,24.943652,-10.080255
2.46147,79.52655,24.947691,-10.084475
2.63729,79.462474,24.951731,-10.088694
2.813109,77.910542,24.95577,-10.092913
2.988928,76.750202,24.959811,-10.097131
3.164747,76.58223,24.963851,-10.10135
3.340567,78.050127,24.967891,-10.105569
3.516386,78.755423,24.97193,-10.109789
3.692205,79.387316,24.975971,-10.114007
3.868025,79.405166,24.980011,-10.118225
4.043844,79.714854,24.984051,-10.122445
4.219663,79.70713,24.988092,-10.126663
4.395483,79.356583,24.992132,-10.130882
4.571302,81.645353,24.996173,-10.135101
4.747121,82.133033,25.000214,-10.139319
4.92294,82.434851,25.004255,-10.143537
5.09876,81.946234,25.008296,-10.147756
5.274579,81.647702,25.012338,-10.151974
5.450398,81.683556,25.016378,-10.156193
5.626218,83.188259,25.02042,-10.160411
5.802037,82.964532,25.024462,-10.164629
5.977856,82.96583,25.028503,-10.168847
6.153676,83.834922,25.032545,-10.173065
6.329495,82.741244,25.036587,-10.177283
6.505314,82.599678,25.040629,-10.181501
6.681133,82.782338,25.044671,-10.185719
6.856953,82.495101,25.048713,-10.189937
7.032772,81.765587,25.052755,-10.194155
7.208591,82.316161,25.056797,-10.198373
7.384411,81.772265,25.06084,-10.20259
7.56023,81.140261,25.064882,-10.206809
7.736049,79.278939,25.068925,-10.211026
7.911869,75.970437,25.072967,-10.215244
8.087688,73.914856,25.077011,-10.219461
8.263507,76.484293,25.081053,-10.223679
8.439327,75.776548,25.085096,-10.227897
8.615146,76.375418,25.08914,-10.232114
8.790965,77.823726,25.093183,-10.236331
8.966784,78.021055,25.097227,-10.240548
9.142604,78.132282,25.101271,-10.244765
9.318423,78.616366,25.105314,-10.248983
9.494242,78.023128,25.109357,-10.2532
9.670062,76.766609,25.113402,-10.257417
9.845881,77.903346,25.117445,-10.261634
10.0217,78.157989,25.12149,-10.265851
10.19752,76.669441,25.125533,-10.270068
10.373339,74.749967,25.129578,-10.274285
10.549158,74.581538,25.133622,-10.278502
10.724977,76.870457,25.137667,-10.282719
10.900797,79.598274,25.141712,-10.286935
11.076616,79.498017,25.145756,-10.291152
11.252435,79.450621,25.149801,-10.295369
11.428255,80.804105,25.153846,-10.299586
11.604074,79.822593,25.157891,-10.303802
11.779893,81.497835,25.161936,-10.308019
11.955713,80.561712,25.165981,-10.312235
12.131532,79.738379,25.170026,-10.316452
12.307351,80.199094,25.174072,-10.320668
12.48317,80.636566,25.178118,-10.324884
12.65899,79.029691,25.182163,-10.329101
12.834809,79.04673,25.186209,-10.333317
13.010628,79.348294,25.190255,-10.337533
13.186448,79.19203,25.194301,-10.341749
13.362267,79.944399,25.198347,-10.345965
13.538086,80.045662,25.202393,-10.350181
13.713906,79.81064,25.20644,-10.354397
13.889725,80.195051,25.210486,-10.358613
14.065544,82.271145,25.214533,-10.362829
14.241364,80.63615,25.218579,-10.367045
14.417183,81.42303,25.222627,-10.37126
14.593002,83.791339,25.226673,-10.375476
14.768821,83.207965,25.23072,-10.379692
14.944641,78.649401,25.234767,-10.383908
15.12046,76.573474,25.238814,-10.388123
15.296279,78.324816,25.242861,-10.392339
15.472099,79.584206,25.24691,-10.396554
15.647918,79.931597,25.250957,-10.400769
15.823737,80.281909,25.255004,-10.404985
15.999557,80.861331,25.259052,-10.4092
16.175376,80.478407,25.2631,-10.413415
16.351195,76.267607,25.267148,-10.417631
16.527014,73.892013,25.271196,-10.421846
16.702834,72.734271,25.275244,-10.426061
16.878653,72.630278,25.279293,-10.430276
17.054472,72.658904,25.283341,-10.434491
17.230292,73.633286,25.287389,-10.438706
17.406111,75.006301,25.291438,-10.442921
17.58193,74.703482,25.295487,-10.447136
17.75775,74.478559,25.299536,-10.45135
17.933569,76.510675,25.303584,-10.455565
