position,TerrainSlope,lon,lat
0,8.270949,24.891148,-10.025402
0.175819,8.139641,24.895186,-10.029622
0.351639,7.743024,24.899224,-10.033842
0.527458,7.649741,24.903263,-10.038061
0.703277,7.629807,24.907302,-10.04228
0.879097,6.041978,24.91134,-10.0465
1.054916,3.342308,24.915379,-10.050719
1.230735,1.437678,24.919417,-10.05494
1.406554,0.943722,24.923456,-10.059159
1.582374,2.745795,24.927495,-10.063378
1.758193,3.153853,24.931534,-10.067597
1.934012,2.142809,24.935573,-10.071817
2.109832,0.809122,24.939613,-10.076036
2.285651,1.344608,24.943652,-10.080255
2.46147,2.192719,24.947691,-10.084475
2.63729,3.158388,24.951731,-10.088694
2.813109,3.648146,24.95577,-10.092913
2.988928,3.697682,24.959811,-10.097131
3.164747,2.477882,24.963851,-10.10135
3.340567,2.009685,24.967891,-10.105569
3.516386,2.829497,24.97193,-10.109789
3.692205,2.820627,24.975971,-10.114007
3.868025,2.869097,24.980011,-10.118225
4.043844,2.452883,24.984051,-10.122445
4.219663,2.682163,24.988092,-10.126663
4.395483,4.600633,24.992132,-10.130882
4.571302,5.401877,24.996173,-10.135101
4.747121,3.739361,25.000214,-10.139319
4.92294,1.439178,25.004255,-10.143537
5.09876,1.20268,25.008296,-10.147756
5.274579,0.910561,25.012338,-10.151974
5.450398,0.857833,25.016378,-10.156193
5.626218,2.481675,25.02042,-10.160411
5.802037,4.959126,25.024462,-10.164629
5.977856,5.166073,25.028503,-10.168847
6.153676,5.474005,25.032545,-10.173065
6.329495,4.043974,25.036587,-10.177283
6.505314,2.933646,25.040629,-10.181501
6.681133,2.987907,25.044671,-10.185719
6.856953,1.867227,25.048713,-10.189937
7.032772,1.730372,25.052755,-10.194155
7.208591,0.820226,25.056797,-10.198373
7.384411,4.635086,25.06084,-10.20259
7.56023,10.531292,25.064882,-10.206809
7.736049,15.496533,25.068925,-10.211026
7.911869,17.496383,25.072967,-10.215244
8.087688,16.302187,25.077011,-10.219461
8.263507,14.85012,25.081053,-10.223679
8.439327,15.145718,25.085096,-10.227897
8.615146,15.140739,25.08914,-10.232114
8.790965,14.867282,25.093183,-10.236331
8.966784,14.340444,25.097227,-10.240548
9.142604,12.519507,25.101271,-10.244765
9.318423,11.581589,25.105314,-10.248983
9.494242,10.849535,25.109357,-10.2532
9.670062,10.359696,25.113402,-10.257417
9.845881,10.547177,25.117445,-10.261634
10.0217,12.604054,25.12149,-10.265851
10.19752,14.897282,25.125533,-10.270068
10.373339,16.166809,25.129578,-10.274285
10.549158,14.614973,25.133622,-10.278502
10.724977,10.098128,25.137667,-10.282719
10.900797,7.294736,25.141712,-10.286935
11.076616,9.403338,25.145756,-10.291152
11.252435,9.598953,25.149801,-10.295369
11.428255,11.783246,25.153846,-10.299586
11.604074,18.276993,25.157891,-10.303802
11.779893,20.797263,25.161936,-10.308019
11.955713,13.705126,25.165981,-10.312235
12.131532,11.692194,25.170026,-10.316452
12.307351,25.101688,25.174072,-10.320668
12.48317,28.768006,25.178118,-10.324884
12.65899,29.972817,25.182163,-10.329101
12.834809,30.750562,25.186209,-10.333317
13.010628,30.909355,25.190255,-10.337533
13.186448,30.947379,25.194301,-10.341749
13.362267,30.609986,25.198347,-10.345965
13.538086,29.433292,25.202393,-10.350181
13.713906,28.972741,25.20644,-10.354397
13.889725,29.247623,25.210486,-10.358613
14.065544,28.937424,25.214533,-10.362829
14.241364,28.065879,25.218579,-10.367045
14.417183,27.412448,25.222627,-10.37126
14.593002,25.622413,25.226673,-10.375476
14.768821,20.586331,25.23072,-10.379692
14.944641,13.395241,25.234767,-10.383908
15.12046,7.930111,25.238814,-10.388123
15.296279,7.307263,25.242861,-10.392339
15.472099,7.292397,25.24691,-10.396554
15.647918,8.160769,25.250957,-10.400769
15.823737,10.901376,25.255004,-10.404985
15.999557,13.233555,25.259052,-10.4092
16.175376,14.099317,25.2631,-10.413415
16.351195,14.241585,25.267148,-10.417631
16.527014,14.90273,25.271196,-10.421846
16.702834,15.830966,25.275244,-10.426061
16.878653,16.100851,25.279293,-10.430276
17.054472,16.310965,25.283341,-10.434491
17.230292,16.508943,25.287389,-10.438706
17.406111,16.859406,25.291438,-10.442921
17.58193,17.985159,25.295487,-10.447136
17.75775,19.067641,25.299536,-10.45135
17.933569,18.95308,25.303584,-10.455565
18.109388,17.540596,25.307633,-10.45978
18.285207,15.869084,25.311683,-10.463994
18.461027,14.13782,25.315732,-10.468209
18.636846,12.365476,25.319782,-10.472423
18.812665,11.127357,25.323831,-10.476638
18.988485,8.940209,25.327881,-10.480853
19.164304,4.356474,25.33193,-10.485067
19.340123,1.229942,25.33598,-10.489282
19.515943,5.864184,25.34003,-10.493496
19.691762,9.508224,25.34408,-10.49771
19.867581,10.695993,25.34813,-10.501924
20.0434,11.115189,25.352181,-10.506138
20.21922,14.037491,25.356231,-10.510352
20.395039,17.485932,25.360281,-10.514566
20.570858,19.561924,25.364332,-10.51878
20.746678,20.633809,25.368383,-10.522994
20.922497,20.970794,25.372434,-10.527208
21.098316,19.901127,25.376485,-10.531422
21.274136,18.621281,25.380536,-10.535636
21.449955,18.115213,25.384587,-10.53985
21.625774,17.642465,25.388638,-10.544063
21.801594,16.75052,25.39269,-10.548277
21.977413,15.790987,25.396741,-10.55249
22.153232,15.470484,25.400793,-10.556703
22.329051,16.461295,25.404845,-10.560917
22.504871,18.154489,25.408896,-10.565131
22.68069,17.965399,25.412949,-10.569344
22.856509,15.154962,25.417,-10.573558
23.032329,12.181448,25.421052,-10.577771
23.208148,11.223472,25.425105,-10.581984
23.383967,11.994315,25.429157,-10.586197
23.559787,13.436637,25.43321,-10.59041
23.735606,14.760226,25.437263,-10.594623
23.911425,15.604121,25.441315,-10.598836
24.087244,16.16701,25.445368,-10.603049
24.263064,15.883786,25.449421,-10.607262
24.438883,14.551369,25.453474,-10.611475
24.614702,13.503531,25.457527,-10.615688
24.790522,13.504388,25.46158,-10.619901
24.966341,14.49713,25.465634,-10.624113
25.14216,15.899511,25.469687,-10.628326
25.31798,16.694477,25.473741,-10.632538
25.493799,17.372779,25.477794,-10.636751
25.669618,18.240095,25.481848,-10.640963
25.845437,18.379865,25.485902,-10.645176
26.021257,18.340122,25.489956,-10.649388
26.197076,18.6969,25.494011,-10.653601
26.372895,18.235229,25.498065,-10.657813
26.548715,16.898486,25.502119,-10.662025
26.724534,15.564081,25.506174,-10.666237
26.900353,14.619935,25.510228,-10.670449
27.076173,13.271664,25.514283,-10.674661
27.251992,12.065281,25.518339,-10.678873
27.427811,12.481471,25.522393,-10.683085
