position,Titanium Abundance,lon,lat
0,0.656411,24.891148,-10.025402
0.175819,0.656711,24.895186,-10.029622
0.351639,0.657032,24.899224,-10.033842
0.527458,0.657373,24.903263,-10.038061
0.703277,0.657735,24.907302,-10.04228
0.879097,0.658117,24.91134,-10.0465
1.054916,0.658519,24.915379,-10.050719
1.230735,0.658942,24.919417,-10.05494
1.406554,0.659385,24.923456,-10.059159
1.582374,0.659849,24.927495,-10.063378
1.758193,0.660333,24.931534,-10.067597
1.934012,0.660837,24.935573,-10.071817
2.109832,0.661362,24.939613,-10.076036
2.285651,0.661907,24.943652,-10.080255
2.46147,0.662472,24.947691,-10.084475
2.63729,0.663058,24.951731,-10.088694
2.813109,0.663664,24.95577,-10.092913
2.988928,0.664291,24.959811,-10.097131
3.164747,0.664938,24.963851,-10.10135
3.340567,0.665606,24.967891,-10.105569
3.516386,0.666293,24.97193,-10.109789
3.692205,0.667002,24.975971,-10.114007
3.868025,0.66773,24.980011,-10.118225
4.043844,0.668479,24.984051,-10.122445
4.219663,0.669249,24.988092,-10.126663
4.395483,0.670039,24.992132,-10.130882
4.571302,0.670902,24.996173,-10.135101
4.747121,0.672004,25.000214,-10.139319
4.92294,0.675288,25.004255,-10.143537
5.09876,0.678824,25.008296,-10.147756
5.274579,0.68235,25.012338,-10.151974
5.450398,0.685866,25.016378,-10.156193
5.626218,0.689372,25.02042,-10.160411
5.802037,0.692867,25.024462,-10.164629
5.977856,0.696353,25.028503,-10.168847
6.153676,0.699828,25.032545,-10.173065
6.329495,0.703292,25.036587,-10.177283
6.505314,0.706747,25.040629,-10.181501
6.681133,0.710191,25.044671,-10.185719
6.856953,0.713626,25.048713,-10.189937
7.032772,0.71705,25.052755,-10.194155
7.208591,0.720463,25.056797,-10.198373
7.384411,0.723867,25.06084,-10.20259
7.56023,0.72726,25.064882,-10.206809
7.736049,0.730643,25.068925,-10.211026
7.911869,0.734016,25.072967,-10.215244
8.087688,0.737379,25.077011,-10.219461
8.263507,0.740731,25.081053,-10.223679
8.439327,0.744073,25.085096,-10.227897
8.615146,0.747405,25.08914,-10.232114
8.790965,0.750727,25.093183,-10.236331
8.966784,0.754039,25.097227,-10.240548
9.142604,0.75734,25.101271,-10.244765
9.318423,0.760631,25.105314,-10.248983
9.494242,0.763912,25.109357,-10.2532
9.670062,0.767183,25.113402,-10.257417
9.845881,0.770443,25.117445,-10.261634
10.0217,0.773693,25.12149,-10.265851
10.19752,0.776933,25.125533,-10.270068
10.373339,0.780163,25.129578,-10.274285
10.549158,0.783382,25.133622,-10.278502
10.724977,0.786592,25.137667,-10.282719
10.900797,0.789791,25.141712,-10.286935
11.076616,0.79298,25.145756,-10.291152
11.252435,0.796158,25.149801,-10.295369
11.428255,0.799327,25.153846,-10.299586
11.604074,0.802485,25.157891,-10.303802
11.779893,0.805633,25.161936,-10.308019
11.955713,0.808771,25.165981,-10.312235
12.131532,0.811898,25.170026,-10.316452
12.307351,0.815016,25.174072,-10.320668
12.48317,0.818123,25.178118,-10.324884
12.65899,0.82122,25.182163,-10.329101
12.834809,0.824306,25.186209,-10.333317
13.010628,0.827383,25.190255,-10.337533
13.186448,0.830449,25.194301,-10.341749
13.362267,0.833505,25.198347,-10.345965
13.538086,0.836551,25.202393,-10.350181
13.713906,0.839586,25.20644,-10.354397
13.889725,0.842612,25.210486,-10.358613
14.065544,0.845627,25.214533,-10.362829
14.241364,0.848631,25.218579,-10.367045
14.417183,0.851626,25.222627,-10.37126
14.593002,0.85461,25.226673,-10.375476
14.768821,0.857585,25.23072,-10.379692
14.944641,0.860549,25.234767,-10.383908
15.12046,0.863502,25.238814,-10.388123
15.296279,0.866446,25.242861,-10.392339
15.472099,0.869379,25.24691,-10.396554
15.647918,0.872302,25.250957,-10.400769
15.823737,0.875215,25.255004,-10.404985
15.999557,0.878117,25.259052,-10.4092
16.175376,0.88101,25.2631,-10.413415
16.351195,0.883892,25.267148,-10.417631
16.527014,0.886764,25.271196,-10.421846
16.702834,0.889625,25.275244,-10.426061
16.878653,0.892477,25.279293,-10.430276
17.054472,0.895318,25.283341,-10.434491
17.230292,0.898149,25.287389,-10.438706
17.406111,0.90097,25.291438,-10.442921
17.58193,0.90378,25.295487,-10.447136
17.75775,0.90658,25.299536,-10.45135
17.933569,0.909371,25.303584,-10.455565
18.109388,0.91215,25.307633,-10.45978
18.285207,0.91492,25.311683,-10.463994
18.461027,0.917679,25.315732,-10.468209
18.636846,0.920428,25.319782,-10.472423
18.812665,0.923167,25.323831,-10.476638
