position,Clinopyroxene Abundance,lon,lat
0,15.883438,33.085081,-18.584901
0.253276,16.009902,33.08446,-18.593233
0.506553,16.052406,33.083841,-18.601565
0.759829,17.080504,33.083221,-18.609897
1.013105,18.610998,33.082601,-18.618228
1.266381,18.559373,33.081981,-18.62656
1.519658,16.900306,33.081361,-18.634892
1.772934,16.223495,33.08074,-18.643224
2.02621,16.907186,33.08012,-18.651556
2.279486,17.779994,33.0795,-18.659887
2.532763,18.42322,33.078879,-18.668219
2.786039,18.364103,33.078259,-18.676551
3.039315,17.448776,33.077638,-18.684883
3.292591,18.399069,33.077017,-18.693215
3.545868,19.408028,33.076397,-18.701546
3.799144,17.835488,33.075776,-18.709878
4.05242,17.562121,33.075155,-18.71821
4.305696,20.172015,33.074534,-18.726542
4.558973,19.913483,33.073913,-18.734874
4.812249,19.376588,33.073292,-18.743205
5.065525,20.009194,33.072671,-18.751537
5.318801,19.940004,33.07205,-18.759869
5.572078,19.526056,33.071428,-18.768201
5.825354,18.601608,33.070807,-18.776532
6.07863,18.606423,33.070186,-18.784864
6.331906,19.008556,33.069565,-18.793196
6.585183,18.722898,33.068943,-18.801528
6.838459,16.57065,33.068322,-18.80986
7.091735,17.515132,33.0677,-18.818191
7.345012,17.997915,33.067078,-18.826523
7.598288,18.899037,33.066457,-18.834855
7.851564,18.273315,33.065835,-18.843187
8.10484,17.112821,33.065213,-18.851518
8.358117,16.758064,33.064591,-18.85985
8.611393,16.899388,33.063969,-18.868182
8.864669,16.286362,33.063347,-18.876514
9.117945,15.547484,33.062725,-18.884845
9.371222,14.897285,33.062103,-18.893177
9.624498,16.344112,33.06148,-18.901509
9.877774,16.622963,33.060859,-18.909841
10.13105,15.609805,33.060236,-18.918172
10.384327,14.887808,33.059613,-18.926504
10.637603,14.681558,33.058991,-18.934836
10.890879,14.221761,33.058369,-18.943168
11.144155,15.070219,33.057746,-18.951499
11.397432,16.558387,33.057124,-18.959831
11.650708,14.45278,33.056501,-18.968163
11.903984,13.193404,33.055878,-18.976494
12.15726,15.303972,33.055255,-18.984826
12.410537,14.719874,33.054633,-18.993158
12.663813,15.227821,33.054009,-19.00149
12.917089,16.114446,33.053387,-19.009821
13.170365,19.062229,33.052763,-19.018153
13.423642,22.062954,33.05214,-19.026485
13.676918,19.974049,33.051517,-19.034817
13.930194,17.373152,33.050894,-19.043148
