position,Orthopyroxene Abundance,lon,lat
0,11.196189,31.005253,-19.53095
0.212407,11.586654,31.01096,-19.535438
0.424814,11.295653,31.016667,-19.539925
0.637222,10.393198,31.022375,-19.544412
0.849629,9.75108,31.028083,-19.548899
1.062036,10.107731,31.03379,-19.553387
1.274443,10.404634,31.039499,-19.557873
1.486851,10.53787,31.045208,-19.56236
1.699258,11.862328,31.050917,-19.566847
1.911665,10.48971,31.056626,-19.571333
2.124072,9.630495,31.062336,-19.575819
2.33648,9.820428,31.068046,-19.580305
2.548887,10.188273,31.073756,-19.584791
2.761294,10.382365,31.079467,-19.589276
2.973701,11.969129,31.085177,-19.593762
3.186109,10.683997,31.090889,-19.598247
3.398516,10.478678,31.0966,-19.602732
3.610923,11.379219,31.102312,-19.607216
3.82333,9.977093,31.108024,-19.611701
4.035738,8.960586,31.113737,-19.616186
4.248145,9.244605,31.11945,-19.62067
4.460552,11.658145,31.125163,-19.625154
4.672959,11.201313,31.130877,-19.629638
4.885367,9.758109,31.13659,-19.634122
5.097774,9.889762,31.142304,-19.638605
5.310181,9.739481,31.148019,-19.643089
5.522588,8.847417,31.153734,-19.647572
5.734996,8.317986,31.159449,-19.652055
5.947403,10.613304,31.165164,-19.656538
6.15981,11.677901,31.17088,-19.66102
6.372217,10.551678,31.176596,-19.665503
6.584625,9.786335,31.182313,-19.669985
6.797032,9.153767,31.188029,-19.674467
7.009439,7.422584,31.193746,-19.678949
7.221846,7.178274,31.199463,-19.683431
7.434254,11.479334,31.205181,-19.687912
7.646661,12.568375,31.210899,-19.692394
7.859068,13.515529,31.216617,-19.696875
8.071475,10.630619,31.222336,-19.701356
8.283883,8.257827,31.228055,-19.705837
8.49629,7.791389,31.233774,-19.710318
8.708697,7.874956,31.239493,-19.714798
8.921104,6.918095,31.245214,-19.719279
9.133512,6.552675,31.250934,-19.723759
9.345919,5.302061,31.256654,-19.728239
9.558326,4.626372,31.262375,-19.732718
9.770733,5.581956,31.268096,-19.737198
9.983141,6.351555,31.273818,-19.741677
10.195548,7.261975,31.279539,-19.746157
10.407955,6.823021,31.285262,-19.750636
10.620362,7.620665,31.290984,-19.755115
10.83277,9.553742,31.296707,-19.759593
11.045177,10.309735,31.30243,-19.764072
11.257584,9.744001,31.308153,-19.76855
11.469991,7.96594,31.313877,-19.773028
11.682399,7.224179,31.319601,-19.777506
11.894806,4.422073,31.325326,-19.781984
12.107213,4.628226,31.33105,-19.786461
12.31962,6.287545,31.336775,-19.790939
12.532028,5.947431,31.342501,-19.795416
12.744435,4.288746,31.348226,-19.799893
12.956842,2.253636,31.353952,-19.80437
13.169249,2.718489,31.359679,-19.808847
13.381657,3.382469,31.365406,-19.813323
13.594064,4.452192,31.371132,-19.817799
13.806471,5.079271,31.37686,-19.822275
14.018878,4.32935,31.382587,-19.826751
14.231286,4.64404,31.388315,-19.831227
14.443693,5.035216,31.394043,-19.835703
14.6561,4.361528,31.399772,-19.840178
14.868507,4.63588,31.405501,-19.844654
15.080915,5.377615,31.41123,-19.849129
15.293322,5.137913,31.41696,-19.853603
15.505729,6.590909,31.42269,-19.858078
15.718136,6.909253,31.42842,-19.862553
15.930544,5.926852,31.43415,-19.867027
16.142951,6.021424,31.439881,-19.871501
16.355358,6.390906,31.445612,-19.875975
16.567765,6.321828,31.451344,-19.880448
16.780173,6.843586,31.457076,-19.884922
16.99258,6.784209,31.462808,-19.889396
17.204987,6.501089,31.46854,-19.893869
17.417394,5.595767,31.474273,-19.898342
17.629802,5.901269,31.480006,-19.902815
17.842209,6.289704,31.485739,-19.907287
18.054616,7.455805,31.491473,-19.91176
18.267023,8.440498,31.497207,-19.916232
18.479431,8.837427,31.502942,-19.920704
18.691838,8.783996,31.508676,-19.925176
18.904245,7.836792,31.514412,-19.929647
