position,Plagioclase Abundance,lon,lat
0,76.957242,31.005253,-19.53095
0.212407,76.37661,31.01096,-19.535438
0.424814,76.334078,31.016667,-19.539925
0.637222,77.396557,31.022375,-19.544412
0.849629,79.493664,31.028083,-19.548899
1.062036,79.286145,31.03379,-19.553387
1.274443,78.947201,31.039499,-19.557873
1.486851,78.706541,31.045208,-19.56236
1.699258,79.234206,31.050917,-19.566847
1.911665,79.761934,31.056626,-19.571333
2.124072,79.837514,31.062336,-19.575819
2.33648,79.753504,31.068046,-19.580305
2.548887,79.42644,31.073756,-19.584791
2.761294,79.070687,31.079467,-19.589276
2.973701,78.207451,31.085177,-19.593762
3.186109,79.302875,31.090889,-19.598247
3.398516,79.317878,31.0966,-19.602732
3.610923,79.214672,31.102312,-19.607216
3.82333,79.924025,31.108024,-19.611701
4.035738,80.783442,31.113737,-19.616186
4.248145,80.334619,31.11945,-19.62067
4.460552,78.454067,31.125163,-19.625154
4.672959,78.944818,31.130877,-19.629638
4.885367,79.714697,31.13659,-19.634122
5.097774,79.258411,31.142304,-19.638605
5.310181,78.450323,31.148019,-19.643089
5.522588,78.987372,31.153734,-19.647572
5.734996,79.102014,31.159449,-19.652055
5.947403,78.578867,31.165164,-19.656538
6.15981,78.475852,31.17088,-19.66102
6.372217,79.257037,31.176596,-19.665503
6.584625,79.608738,31.182313,-19.669985
6.797032,80.119092,31.188029,-19.674467
7.009439,81.275952,31.193746,-19.678949
7.221846,81.399692,31.199463,-19.683431
7.434254,79.267327,31.205181,-19.687912
7.646661,78.374532,31.210899,-19.692394
7.859068,76.663904,31.216617,-19.696875
8.071475,78.353914,31.222336,-19.701356
8.283883,78.884164,31.228055,-19.705837
8.49629,79.117465,31.233774,-19.710318
8.708697,81.059017,31.239493,-19.714798
8.921104,82.47182,31.245214,-19.719279
9.133512,82.81418,31.250934,-19.723759
9.345919,84.202332,31.256654,-19.728239
9.558326,84.394962,31.262375,-19.732718
9.770733,83.579702,31.268096,-19.737198
9.983141,82.10546,31.273818,-19.741677
10.195548,81.671986,31.279539,-19.746157
10.407955,82.424644,31.285262,-19.750636
10.620362,82.218512,31.290984,-19.755115
10.83277,81.492368,31.296707,-19.759593
11.045177,81.028397,31.30243,-19.764072
11.257584,81.869611,31.308153,-19.76855
11.469991,83.676336,31.313877,-19.773028
11.682399,83.20035,31.319601,-19.777506
11.894806,82.084134,31.325326,-19.781984
12.107213,81.685192,31.33105,-19.786461
12.31962,81.863022,31.336775,-19.790939
12.532028,81.116048,31.342501,-19.795416
12.744435,79.88597,31.348226,-19.799893
12.956842,79.210003,31.353952,-19.80437
13.169249,79.549484,31.359679,-19.808847
13.381657,80.11983,31.365406,-19.813323
13.594064,79.894,31.371132,-19.817799
13.806471,79.058658,31.37686,-19.822275
14.018878,79.077224,31.382587,-19.826751
14.231286,78.902366,31.388315,-19.831227
14.443693,78.762746,31.394043,-19.835703
14.6561,78.838686,31.399772,-19.840178
14.868507,78.12146,31.405501,-19.844654
15.080915,77.85498,31.41123,-19.849129
15.293322,78.694438,31.41696,-19.853603
15.505729,78.772831,31.42269,-19.858078
15.718136,78.315607,31.42842,-19.862553
15.930544,77.802456,31.43415,-19.867027
16.142951,77.023274,31.439881,-19.871501
16.355358,76.665543,31.445612,-19.875975
16.567765,77.449281,31.451344,-19.880448
16.780173,77.914459,31.457076,-19.884922
16.99258,77.42466,31.462808,-19.889396
17.204987,76.634091,31.46854,-19.893869
17.417394,76.251561,31.474273,-19.898342
17.629802,76.785446,31.480006,-19.902815
17.842209,77.037476,31.485739,-19.907287
18.054616,76.170371,31.491473,-19.91176
18.267023,76.244694,31.497207,-19.916232
18.479431,76.106904,31.502942,-19.920704
18.691838,75.386441,31.508676,-19.925176
18.904245,75.533084,31.514412,-19.929647
19.116652,76.161844,31.520147,-19.934119
19.32906,76.247741,31.525883,-19.938591
19.541467,75.918785,31.531619,-19.943062
19.753874,75.122453,31.537355,-19.947533
19.966281,74.407799,31.543092,-19.952004
20.178689,75.315938,31.548829,-19.956474
20.391096,76.237285,31.554566,-19.960945
20.603503,76.214359,31.560304,-19.965415
20.81591,74.634674,31.566042,-19.969885
21.028318,73.515359,31.57178,-19.974355
21.240725,74.204216,31.577518,-19.978825
21.453132,76.140345,31.583258,-19.983294
21.665539,76.950193,31.588997,-19.987763
21.877947,75.555623,31.594736,-19.992233
22.090354,73.958892,31.600476,-19.996702
22.302761,74.508694,31.606216,-20.00117
22.515168,74.567577,31.611957,-20.005639
22.727576,72.817431,31.617698,-20.010107
22.939983,71.113173,31.623439,-20.014576
23.15239,70.883368,31.629181,-20.019044
23.364797,70.453394,31.634923,-20.023511
23.577205,69.029416,31.640665,-20.027979
23.789612,65.451957,31.646407,-20.032447
24.002019,66.476516,31.65215,-20.036914
24.214426,68.302251,31.657893,-20.041381
24.426834,69.43077,31.663637,-20.045848
24.639241,71.928878,31.669381,-20.050314
24.851648,72.363925,31.675125,-20.054781
25.064055,71.81175,31.680869,-20.059248
25.276463,71.828382,31.686614,-20.063714
25.48887,72.988133,31.692359,-20.06818
25.701277,74.219892,31.698105,-20.072646
25.913684,74.821322,31.703851,-20.077111
26.126092,74.308548,31.709597,-20.081576
26.338499,73.796906,31.715343,-20.086042
26.550906,72.997353,31.72109,-20.090507
26.763313,71.788467,31.726837,-20.094972
26.975721,70.787726,31.732585,-20.099436
27.188128,71.112488,31.738332,-20.103901
27.400535,68.821406,31.74408,-20.108365
27.612942,67.73615,31.749829,-20.11283
27.82535,66.365814,31.755578,-20.117293
28.037757,66.059551,31.761327,-20.121757
28.250164,66.579683,31.767076,-20.126221
28.462571,66.04296,31.772826,-20.130684
28.674979,67.228381,31.778576,-20.135147
28.887386,68.144511,31.784326,-20.139611
29.099793,68.026492,31.790077,-20.144073
29.3122,67.847026,31.795828,-20.148536
29.524608,67.93827,31.80158,-20.152999
29.737015,66.990912,31.807331,-20.157461
29.949422,65.514453,31.813083,-20.161923
30.161829,65.235374,31.818836,-20.166384
30.374237,66.277634,31.824588,-20.170846
30.586644,64.123303,31.830341,-20.175308
30.799051,62.355912,31.836095,-20.179769
31.011458,63.682829,31.841849,-20.18423
31.223866,63.465122,31.847602,-20.188691
31.436273,63.272138,31.853357,-20.193152
31.64868,64.102549,31.859111,-20.197613
31.861087,63.760364,31.864867,-20.202073
32.073495,63.928006,31.870622,-20.206533
32.285902,63.871887,31.876377,-20.210994
32.498309,64.041791,31.882133,-20.215453
32.710716,64.691053,31.88789,-20.219913
32.923124,65.871883,31.893647,-20.224372
33.135531,64.627629,31.899403,-20.228832
33.347938,64.314619,31.905161,-20.233291
33.560345,65.441665,31.910918,-20.23775
33.772753,65.906389,31.916677,-20.242208
33.98516,65.393856,31.922435,-20.246667
34.197567,64.891382,31.928193,-20.251125
34.409974,64.522207,31.933952,-20.255583
34.622382,64.801466,31.939712,-20.260041
34.834789,64.691147,31.945471,-20.264499
35.047196,65.445909,31.951231,-20.268957
35.259603,66.363286,31.956991,-20.273414
35.472011,66.434695,31.962752,-20.277871
35.684418,65.708965,31.968513,-20.282328
35.896825,67.048199,31.974274,-20.286785
36.109232,66.632311,31.980036,-20.291242
36.32164,65.098231,31.985798,-20.295698
36.534047,65.093167,31.99156,-20.300155
36.746454,65.495076,31.997323,-20.30461
36.958861,65.336358,32.003086,-20.309066
37.171269,65.808044,32.008849,-20.313522
37.383676,63.668484,32.014613,-20.317978
37.596083,62.337666,32.020377,-20.322433
37.80849,61.711122,32.026141,-20.326888
38.020898,63.327977,32.031906,-20.331343
38.233305,64.321684,32.03767,-20.335798
38.445712,64.052228,32.043436,-20.340253
38.658119,63.744608,32.049201,-20.344707
38.870527,63.958988,32.054967,-20.349161
39.082934,64.141951,32.060733,-20.353615
39.295341,65.545958,32.0665,-20.358069
39.507748,66.241555,32.072267,-20.362523
39.720156,66.693464,32.078034,-20.366976
39.932563,67.411104,32.083802,-20.371429
40.14497,67.643963,32.08957,-20.375882
40.357377,65.659051,32.095338,-20.380335
40.569785,65.857835,32.101106,-20.384788
40.782192,66.658297,32.106875,-20.38924
40.994599,66.429399,32.112645,-20.393692
41.207006,64.926331,32.118414,-20.398145
41.419414,63.221898,32.124184,-20.402596
41.631821,64.495005,32.129954,-20.407048
41.844228,66.737003,32.135725,-20.4115
42.056635,67.199209,32.141496,-20.415951
42.269043,67.309059,32.147267,-20.420402
42.48145,67.094507,32.153039,-20.424854
42.693857,67.226359,32.158811,-20.429304
42.906264,70.665505,32.164583,-20.433755
43.118672,69.312118,32.170356,-20.438205
43.331079,66.180543,32.176129,-20.442655
43.543486,64.963043,32.181902,-20.447106
43.755893,64.88371,32.187676,-20.451555
43.968301,64.665471,32.193449,-20.456005
44.180708,63.566727,32.199224,-20.460454
44.393115,64.186726,32.204998,-20.464903
44.605522,65.909662,32.210773,-20.469352
44.81793,68.444543,32.216549,-20.473801
45.030337,69.233705,32.222324,-20.47825
45.242744,67.717829,32.2281,-20.482699
45.455151,66.209272,32.233876,-20.487147
45.667559,65.128109,32.239653,-20.491595
45.879966,65.007872,32.24543,-20.496043
46.092373,64.849077,32.251207,-20.500491
46.30478,63.834072,32.256985,-20.504938
46.517188,63.317015,32.262763,-20.509386
46.729595,63.414213,32.268541,-20.513833
46.942002,64.54996,32.27432,-20.51828
47.154409,65.168225,32.280098,-20.522727
47.366817,64.936116,32.285878,-20.527173
47.579224,64.013068,32.291657,-20.53162
47.791631,62.245958,32.297437,-20.536066
48.004038,62.076794,32.303218,-20.540512
48.216446,62.509318,32.308998,-20.544958
48.428853,62.172455,32.314779,-20.549403
48.64126,62.596761,32.320561,-20.553848
48.853667,62.827878,32.326342,-20.558294
49.066075,62.113684,32.332124,-20.562739
49.278482,61.535681,32.337907,-20.567184
49.490889,62.279695,32.343689,-20.571628
49.703296,62.917289,32.349472,-20.576073
49.915704,63.234739,32.355256,-20.580517
50.128111,62.908114,32.361039,-20.584961
50.340518,62.867562,32.366823,-20.589405
50.552925,61.971508,32.372608,-20.593849
50.765333,61.718391,32.378392,-20.598292
50.97774,61.177697,32.384177,-20.602735
51.190147,61.174669,32.389963,-20.607179
51.402554,61.157756,32.395749,-20.611622
51.614962,61.303092,32.401535,-20.616064
51.827369,61.138158,32.407321,-20.620507
52.039776,61.278029,32.413107,-20.62495
52.252183,61.260849,32.418895,-20.629391
52.464591,61.12634,32.424682,-20.633834
52.676998,61.840187,32.43047,-20.638275
52.889405,61.348948,32.436258,-20.642717
53.101812,60.279118,32.442046,-20.647158
53.31422,59.794591,32.447835,-20.6516
53.526627,59.693457,32.453624,-20.656041
53.739034,59.382811,32.459413,-20.660481
53.951441,60.549966,32.465203,-20.664922
54.163849,63.132608,32.470993,-20.669362
54.376256,62.268194,32.476783,-20.673803
54.588663,62.026549,32.482574,-20.678243
54.80107,60.197305,32.488366,-20.682682
55.013478,60.481708,32.494157,-20.687122
55.225885,60.815883,32.499949,-20.691562
55.438292,61.361098,32.505741,-20.696001
55.650699,60.759942,32.511533,-20.70044
55.863107,59.460554,32.517326,-20.704879
56.075514,59.220596,32.523119,-20.709318
56.287921,58.446904,32.528912,-20.713756
56.500328,60.30164,32.534707,-20.718194
56.712736,60.627271,32.5405,-20.722632
56.925143,61.339905,32.546295,-20.72707
57.13755,60.466755,32.55209,-20.731508
57.349957,58.032986,32.557885,-20.735946
57.562365,57.016507,32.563681,-20.740383
57.774772,57.538532,32.569477,-20.74482
57.987179,57.189927,32.575273,-20.749257
58.199586,57.412263,32.581069,-20.753694
58.411994,57.851937,32.586866,-20.75813
58.624401,57.712679,32.592663,-20.762566
