position,Olivine Abundance,lon,lat
0,8.210883,61.236744,-5.56141
0.267672,8.268398,61.236569,-5.570236
0.535344,8.946665,61.236394,-5.579061
0.803015,9.496219,61.236219,-5.587887
1.070687,8.994377,61.236044,-5.596712
1.338359,8.225335,61.235869,-5.605538
1.606031,7.51836,61.235695,-5.614363
1.873703,6.517239,61.235519,-5.623189
2.141375,5.238358,61.235344,-5.632014
2.409046,5.667773,61.235169,-5.64084
2.676718,5.847702,61.234994,-5.649665
2.94439,5.47071,61.234819,-5.658491
3.212062,5.532471,61.234644,-5.667316
3.479734,5.700313,61.23447,-5.676142
3.747406,6.636745,61.234294,-5.684967
4.015077,7.481005,61.234119,-5.693793
4.282749,8.126498,61.233945,-5.702619
4.550421,7.915911,61.233769,-5.711444
4.818093,6.838346,61.233594,-5.72027
5.085765,6.303458,61.233419,-5.729095
5.353437,6.194324,61.233244,-5.737921
5.621108,5.573936,61.233069,-5.746746
5.88878,4.556142,61.232895,-5.755572
6.156452,3.74896,61.23272,-5.764397
6.424124,4.680425,61.232545,-5.773223
6.691796,6.007679,61.23237,-5.782048
6.959468,5.512563,61.232194,-5.790874
7.227139,5.169306,61.232019,-5.799699
7.494811,5.337818,61.231843,-5.808525
7.762483,5.856618,61.231668,-5.81735
8.030155,7.220921,61.231493,-5.826176
8.297827,8.30107,61.231318,-5.835002
8.565499,8.957856,61.231143,-5.843827
8.83317,9.685555,61.230968,-5.852653
9.100842,8.692743,61.230793,-5.861478
9.368514,7.719794,61.230619,-5.870304
9.636186,8.401986,61.230443,-5.879129
9.903858,8.929334,61.230267,-5.887955
10.171529,8.147638,61.230092,-5.89678
10.439201,6.386071,61.229917,-5.905606
10.706873,6.356893,61.229742,-5.914431
10.974545,6.392447,61.229567,-5.923257
11.242217,6.707009,61.229392,-5.932082
11.509889,6.521401,61.229216,-5.940908
11.77756,4.903836,61.229041,-5.949733
12.045232,4.895051,61.228866,-5.958559
12.312904,6.431407,61.228691,-5.967384
12.580576,6.616194,61.228516,-5.97621
12.848248,6.661583,61.22834,-5.985036
13.11592,8.032269,61.228166,-5.993861
13.383591,8.196288,61.22799,-6.002687
13.651263,6.842869,61.227815,-6.011512
13.918935,5.028055,61.22764,-6.020338
14.186607,4.231072,61.227465,-6.029163
14.454279,4.012081,61.227289,-6.037989
14.721951,4.75322,61.227114,-6.046814
14.989622,5.818291,61.226939,-6.05564
15.257294,5.873267,61.226763,-6.064465
15.524966,4.86277,61.226588,-6.073291
15.792638,5.379105,61.226413,-6.082116
16.06031,5.814485,61.226238,-6.090942
16.327982,6.445497,61.226062,-6.099767
16.595653,5.94709,61.225888,-6.108593
16.863325,6.262889,61.225712,-6.117419
17.130997,7.551439,61.225536,-6.126244
17.398669,8.650629,61.225361,-6.13507
17.666341,8.933644,61.225186,-6.143895
17.934013,5.967626,61.22501,-6.152721
18.201684,6.876086,61.224835,-6.161546
18.469356,6.078068,61.22466,-6.170372
18.737028,5.319143,61.224485,-6.179197
19.0047,4.27169,61.22431,-6.188023
19.272372,3.964121,61.224134,-6.196848
19.540043,3.469469,61.223958,-6.205674
19.807715,3.822054,61.223784,-6.214499
20.075387,4.346636,61.223608,-6.223325
20.343059,4.753767,61.223432,-6.23215
20.610731,4.649924,61.223257,-6.240976
20.878403,4.682256,61.223082,-6.249801
21.146074,4.447873,61.222907,-6.258627
21.413746,4.129648,61.222731,-6.267453
21.681418,3.873426,61.222556,-6.276278
21.94909,3.809662,61.222381,-6.285104
22.216762,4.262279,61.222206,-6.293929
22.484434,4.497107,61.222029,-6.302755
22.752105,4.07252,61.221855,-6.31158
23.019777,3.507924,61.221679,-6.320406
23.287449,4.549042,61.221504,-6.329231
23.555121,4.029754,61.221328,-6.338057
23.822793,3.807327,61.221152,-6.346882
24.090465,3.679251,61.220977,-6.355708
24.358136,3.804729,61.220802,-6.364533
24.625808,3.49813,61.220627,-6.373359
24.89348,3.291686,61.220451,-6.382184
25.161152,3.592039,61.220275,-6.39101
25.428824,3.306064,61.220099,-6.399835
25.696496,3.354216,61.219924,-6.408661
25.964167,4.183836,61.219748,-6.417487
26.231839,3.332175,61.219573,-6.426312
26.499511,3.912348,61.219397,-6.435138
26.767183,4.382468,61.219222,-6.443963
27.034855,4.461935,61.219047,-6.452789
27.302527,4.325968,61.218871,-6.461614
27.570198,4.004126,61.218695,-6.47044
27.83787,3.984331,61.218521,-6.479265
28.105542,3.75281,61.218344,-6.488091
28.373214,3.251737,61.218169,-6.496916
28.640886,2.563613,61.217993,-6.505742
28.908558,2.547567,61.217818,-6.514567
29.176229,2.56173,61.217642,-6.523393
29.443901,2.793211,61.217467,-6.532218
29.711573,3.370179,61.217291,-6.541044
29.979245,3.958188,61.217116,-6.549869
30.246917,3.944365,61.21694,-6.558695
30.514588,3.766527,61.216764,-6.56752
30.78226,4.414868,61.216589,-6.576346
31.049932,4.567732,61.216414,-6.585172
31.317604,4.017462,61.216237,-6.593997
31.585276,3.981757,61.216062,-6.602823
31.852948,3.697252,61.215886,-6.611648
32.120619,3.40408,61.21571,-6.620474
32.388291,3.251306,61.215535,-6.629299
32.655963,3.271273,61.215359,-6.638125
32.923635,2.720934,61.215183,-6.64695
33.191307,2.464816,61.215008,-6.655776
