position,TerrainSlope,lon,lat
0,2.663822,61.236744,-5.56141
0.267672,1.687885,61.236569,-5.570236
0.535344,1.198692,61.236394,-5.579061
0.803015,1.373478,61.236219,-5.587887
1.070687,1.843797,61.236044,-5.596712
1.338359,1.816873,61.235869,-5.605538
1.606031,1.895618,61.235695,-5.614363
1.873703,1.996593,61.235519,-5.623189
2.141375,1.072053,61.235344,-5.632014
2.409046,0.479956,61.235169,-5.64084
2.676718,1.027167,61.234994,-5.649665
2.94439,1.055387,61.234819,-5.658491
3.212062,0.040149,61.234644,-5.667316
3.479734,2.43054,61.23447,-5.676142
3.747406,4.932266,61.234294,-5.684967
4.015077,5.398971,61.234119,-5.693793
4.282749,3.947393,61.233945,-5.702619
4.550421,2.054669,61.233769,-5.711444
4.818093,3.058801,61.233594,-5.72027
5.085765,5.266873,61.233419,-5.729095
5.353437,6.585734,61.233244,-5.737921
5.621108,6.55463,61.233069,-5.746746
5.88878,6.588413,61.232895,-5.755572
6.156452,7.158898,61.23272,-5.764397
6.424124,7.506594,61.232545,-5.773223
6.691796,7.752407,61.23237,-5.782048
6.959468,6.484377,61.232194,-5.790874
7.227139,4.542697,61.232019,-5.799699
7.494811,3.612155,61.231843,-5.808525
7.762483,4.272732,61.231668,-5.81735
8.030155,5.704972,61.231493,-5.826176
8.297827,6.751424,61.231318,-5.835002
8.565499,7.538559,61.231143,-5.843827
8.83317,8.137841,61.230968,-5.852653
9.100842,8.691626,61.230793,-5.861478
9.368514,9.548451,61.230619,-5.870304
9.636186,10.057653,61.230443,-5.879129
9.903858,10.200853,61.230267,-5.887955
10.171529,10.176462,61.230092,-5.89678
10.439201,9.344462,61.229917,-5.905606
10.706873,8.150719,61.229742,-5.914431
10.974545,7.05561,61.229567,-5.923257
11.242217,6.262069,61.229392,-5.932082
11.509889,4.958516,61.229216,-5.940908
11.77756,3.114999,61.229041,-5.949733
12.045232,3.486011,61.228866,-5.958559
12.312904,5.151124,61.228691,-5.967384
12.580576,6.56273,61.228516,-5.97621
12.848248,7.532924,61.22834,-5.985036
13.11592,7.969057,61.228166,-5.993861
13.383591,7.912438,61.22799,-6.002687
13.651263,7.521191,61.227815,-6.011512
13.918935,6.945326,61.22764,-6.020338
14.186607,6.387889,61.227465,-6.029163
14.454279,5.886993,61.227289,-6.037989
14.721951,5.375257,61.227114,-6.046814
14.989622,5.089623,61.226939,-6.05564
15.257294,5.256849,61.226763,-6.064465
15.524966,5.570318,61.226588,-6.073291
15.792638,5.722116,61.226413,-6.082116
16.06031,5.959496,61.226238,-6.090942
16.327982,6.161607,61.226062,-6.099767
16.595653,6.373661,61.225888,-6.108593
16.863325,6.564298,61.225712,-6.117419
17.130997,6.903251,61.225536,-6.126244
17.398669,6.954974,61.225361,-6.13507
17.666341,4.403599,61.225186,-6.143895
17.934013,1.55183,61.22501,-6.152721
18.201684,2.091333,61.224835,-6.161546
18.469356,2.300454,61.22466,-6.170372
18.737028,1.906508,61.224485,-6.179197
19.0047,1.19623,61.22431,-6.188023
19.272372,4.322059,61.224134,-6.196848
19.540043,5.466051,61.223958,-6.205674
19.807715,4.118938,61.223784,-6.214499
20.075387,5.127688,61.223608,-6.223325
20.343059,5.862073,61.223432,-6.23215
20.610731,4.270646,61.223257,-6.240976
20.878403,2.123946,61.223082,-6.249801
21.146074,0.97258,61.222907,-6.258627
21.413746,1.545284,61.222731,-6.267453
21.681418,1.023909,61.222556,-6.276278
21.94909,3.175188,61.222381,-6.285104
22.216762,5.234182,61.222206,-6.293929
22.484434,5.691843,61.222029,-6.302755
22.752105,3.099352,61.221855,-6.31158
23.019777,1.167196,61.221679,-6.320406
23.287449,5.689825,61.221504,-6.329231
23.555121,10.46615,61.221328,-6.338057
23.822793,12.243044,61.221152,-6.346882
24.090465,9.053646,61.220977,-6.355708
24.358136,3.794574,61.220802,-6.364533
24.625808,0.359701,61.220627,-6.373359
24.89348,0.250543,61.220451,-6.382184
25.161152,1.054123,61.220275,-6.39101
25.428824,2.183033,61.220099,-6.399835
25.696496,1.143017,61.219924,-6.408661
25.964167,2.3077,61.219748,-6.417487
26.231839,2.632058,61.219573,-6.426312
26.499511,8.590557,61.219397,-6.435138
26.767183,14.492261,61.219222,-6.443963
27.034855,17.589632,61.219047,-6.452789
27.302527,18.239074,61.218871,-6.461614
27.570198,16.13252,61.218695,-6.47044
27.83787,10.665393,61.218521,-6.479265
28.105542,6.569256,61.218344,-6.488091
28.373214,7.740579,61.218169,-6.496916
28.640886,7.88868,61.217993,-6.505742
28.908558,7.679249,61.217818,-6.514567
29.176229,8.745392,61.217642,-6.523393
29.443901,10.711726,61.217467,-6.532218
29.711573,11.892953,61.217291,-6.541044
29.979245,10.598814,61.217116,-6.549869
30.246917,8.534026,61.21694,-6.558695
30.514588,6.892927,61.216764,-6.56752
30.78226,4.545957,61.216589,-6.576346
31.049932,2.561265,61.216414,-6.585172
31.317604,3.778589,61.216237,-6.593997
31.585276,7.385615,61.216062,-6.602823
31.852948,8.76261,61.215886,-6.611648
32.120619,8.529109,61.21571,-6.620474
32.388291,6.527654,61.215535,-6.629299
32.655963,4.38947,61.215359,-6.638125
32.923635,5.66545,61.215183,-6.64695
33.191307,7.569711,61.215008,-6.655776
33.458979,7.302586,61.214832,-6.664601
33.72665,5.79753,61.214656,-6.673427
33.994322,3.730471,61.214482,-6.682252
34.261994,1.078152,61.214305,-6.691078
34.529666,2.580846,61.214129,-6.699903
34.797338,3.777708,61.213954,-6.708729
35.06501,1.812029,61.213779,-6.717554
35.332681,4.047222,61.213603,-6.72638
35.600353,4.782497,61.213427,-6.735205
35.868025,5.223936,61.213251,-6.744031
36.135697,6.76349,61.213076,-6.752857
36.403369,8.966263,61.212899,-6.761682
36.671041,9.330543,61.212724,-6.770508
36.938712,5.888863,61.212549,-6.779333
37.206384,2.654828,61.212372,-6.788159
37.474056,4.330538,61.212196,-6.796984
37.741728,6.995632,61.212021,-6.80581
38.0094,9.99614,61.211846,-6.814635
38.277072,15.14307,61.211669,-6.823461
38.544743,23.146469,61.211493,-6.832286
38.812415,28.572566,61.211317,-6.841112
39.080087,29.761328,61.211142,-6.849937
39.347759,29.04374,61.210966,-6.858763
39.615431,29.028975,61.21079,-6.867588
39.883102,29.415039,61.210615,-6.876414
40.150774,29.027175,61.210438,-6.885239
40.418446,28.622752,61.210263,-6.894065
40.686118,28.43328,61.210088,-6.90289
40.95379,27.931084,61.209912,-6.911716
41.221462,26.483028,61.209735,-6.920542
41.489133,24.041632,61.209559,-6.929367
41.756805,18.937385,61.209383,-6.938193
42.024477,10.791754,61.209208,-6.947018
42.292149,9.522801,61.209032,-6.955844
42.559821,10.202733,61.208856,-6.964669
42.827493,7.815812,61.20868,-6.973495
43.095164,4.467287,61.208504,-6.98232
43.362836,5.800758,61.208328,-6.991146
43.630508,12.009461,61.208152,-6.999971
43.89818,17.199641,61.207976,-7.008797
44.165852,18.832655,61.2078,-7.017622
44.433524,16.507531,61.207625,-7.026448
44.701195,9.49175,61.207449,-7.035273
44.968867,2.193115,61.207272,-7.044099
45.236539,1.312381,61.207097,-7.052924
45.504211,3.298434,61.20692,-7.06175
45.771883,3.578387,61.206744,-7.070575
46.039555,3.524948,61.206569,-7.079401
46.307226,3.498688,61.206393,-7.088226
46.574898,3.872611,61.206217,-7.097052
46.84257,5.372964,61.206041,-7.105878
47.110242,7.199852,61.205865,-7.114703
47.377914,10.297032,61.205689,-7.123529
47.645586,12.964023,61.205513,-7.132354
47.913257,13.244868,61.205337,-7.14118
48.180929,12.122219,61.205161,-7.150005
48.448601,10.889244,61.204984,-7.158831
48.716273,10.496268,61.204808,-7.167656
48.983945,9.391828,61.204632,-7.176482
49.251616,6.262567,61.204456,-7.185307
49.519288,4.663829,61.20428,-7.194133
49.78696,3.909313,61.204105,-7.202958
50.054632,2.209755,61.203929,-7.211784
50.322304,1.160195,61.203753,-7.220609
50.589976,4.864144,61.203576,-7.229435
50.857647,10.251882,61.203401,-7.23826
51.125319,15.531942,61.203224,-7.247086
51.392991,19.18806,61.203048,-7.255911
51.660663,20.842988,61.202872,-7.264737
51.928335,19.783839,61.202695,-7.273562
52.196007,14.926452,61.202519,-7.282388
52.463678,13.382392,61.202343,-7.291213
52.73135,17.053199,61.202168,-7.300039
52.999022,19.631818,61.201992,-7.308865
53.266694,18.515569,61.201815,-7.31769
53.534366,15.250733,61.201639,-7.326516
53.802038,11.857823,61.201462,-7.335341
54.069709,11.019349,61.201286,-7.344167
54.337381,10.027057,61.201111,-7.352992
54.605053,6.472671,61.200934,-7.361818
54.872725,3.619389,61.200758,-7.370643
55.140397,2.42073,61.200581,-7.379469
55.408069,1.319738,61.200405,-7.388294
55.67574,0.692647,61.20023,-7.39712
55.943412,0.660944,61.200054,-7.405945
56.211084,0.719575,61.199877,-7.414771
56.478756,1.03663,61.1997,-7.423596
56.746428,1.123283,61.199524,-7.432422
57.0141,0.805142,61.199348,-7.441247
57.281771,1.282764,61.199172,-7.450073
57.549443,0.933487,61.198995,-7.458898
57.817115,0.74808,61.198819,-7.467724
58.084787,0.704356,61.198644,-7.476549
58.352459,0.387921,61.198467,-7.485375
58.62013,0.785446,61.19829,-7.4942
58.887802,0.946464,61.198114,-7.503026
59.155474,1.658254,61.197938,-7.511852
59.423146,1.591259,61.197761,-7.520677
59.690818,1.643584,61.197586,-7.529503
59.95849,2.960256,61.197409,-7.538328
60.226161,3.302623,61.197233,-7.547154
60.493833,1.335277,61.197056,-7.555979
60.761505,1.310292,61.196879,-7.564805
61.029177,1.831581,61.196704,-7.57363
61.296849,2.179365,61.196527,-7.582456
61.564521,3.675987,61.19635,-7.591281
61.832192,4.461459,61.196174,-7.600107
62.099864,2.596859,61.195998,-7.608932
62.367536,3.763473,61.195821,-7.617758
62.635208,3.432654,61.195645,-7.626583
62.90288,1.139262,61.195469,-7.635409
63.170552,2.306506,61.195292,-7.644234
63.438223,4.234445,61.195116,-7.65306
63.705895,6.273835,61.194939,-7.661885
63.973567,5.210907,61.194763,-7.670711
64.241239,2.84508,61.194586,-7.679536
64.508911,2.394953,61.19441,-7.688362
64.776583,4.745916,61.194233,-7.697187
65.044254,2.91103,61.194058,-7.706013
65.311926,2.456938,61.19388,-7.714838
65.579598,2.360281,61.193704,-7.723664
65.84727,1.616344,61.193527,-7.73249
66.114942,0.956254,61.193351,-7.741315
66.382614,0.458003,61.193174,-7.750141
66.650285,0.424462,61.192998,-7.758966
66.917957,0.580981,61.192821,-7.767792
67.185629,1.13997,61.192645,-7.776617
67.453301,2.45908,61.192468,-7.785443
67.720973,2.945877,61.192292,-7.794268
67.988644,2.663807,61.192116,-7.803094
68.256316,3.079747,61.191939,-7.811919
68.523988,3.785892,61.191763,-7.820745
68.79166,3.594027,61.191586,-7.82957
69.059332,3.624308,61.191409,-7.838396
69.327004,4.437451,61.191233,-7.847221
69.594675,5.796801,61.191057,-7.856047
69.862347,7.46966,61.19088,-7.864872
70.130019,8.358614,61.190703,-7.873698
70.397691,7.925917,61.190526,-7.882523
70.665363,5.909867,61.19035,-7.891349
70.933035,3.710485,61.190173,-7.900174
71.200706,2.188228,61.189997,-7.909
71.468378,1.536,61.18982,-7.917825
71.73605,4.003054,61.189643,-7.926651
72.003722,6.780859,61.189466,-7.935476
72.271394,8.030886,61.18929,-7.944302
72.539066,7.910113,61.189113,-7.953127
72.806737,6.68895,61.188936,-7.961953
73.074409,5.554832,61.18876,-7.970778
73.342081,4.908544,61.188583,-7.979604
73.609753,4.729002,61.188406,-7.98843
73.877425,7.740328,61.188229,-7.997255
74.145097,10.592286,61.188053,-8.006081
74.412768,11.01973,61.187876,-8.014906
74.68044,10.406675,61.1877,-8.023732
74.948112,8.796255,61.187522,-8.032557
75.215784,5.027967,61.187345,-8.041383
75.483456,2.271285,61.187169,-8.050208
75.751128,5.054168,61.186993,-8.059034
76.018799,5.865049,61.186815,-8.067859
76.286471,5.664489,61.186638,-8.076685
76.554143,6.969206,61.186461,-8.08551
76.821815,4.428549,61.186286,-8.094336
77.089487,1.453744,61.186108,-8.103161
77.357159,0.84344,61.185931,-8.111987
77.62483,0.998298,61.185755,-8.120812
77.892502,0.783723,61.185577,-8.129638
78.160174,0.316937,61.185401,-8.138463
78.427846,0.36235,61.185225,-8.147289
78.695518,0.75778,61.185047,-8.156114
78.963189,0.295993,61.18487,-8.16494
79.230861,0.432091,61.184693,-8.173765
79.498533,0.739846,61.184516,-8.182591
79.766205,0.971581,61.18434,-8.191416
80.033877,0.707855,61.184162,-8.200242
80.301549,0.490782,61.183985,-8.209067
80.56922,0.428601,61.183809,-8.217893
80.836892,0.470674,61.183632,-8.226718
81.104564,0.416915,61.183456,-8.235544
81.372236,0.677345,61.183278,-8.244369
81.639908,1.083468,61.183101,-8.253195
81.90758,1.193995,61.182924,-8.26202
82.175251,0.948503,61.182748,-8.270846
82.442923,0.656448,61.18257,-8.279672
82.710595,0.693052,61.182393,-8.288497
82.978267,0.831659,61.182216,-8.297323
83.245939,0.752032,61.18204,-8.306148
83.513611,0.419766,61.181862,-8.314974
83.781282,0.125441,61.181685,-8.323799
84.048954,0.696185,61.181509,-8.332625
84.316626,1.136535,61.181331,-8.34145
84.584298,0.969231,61.181155,-8.350276
84.85197,0.904811,61.180978,-8.359101
85.119642,1.258306,61.1808,-8.367927
85.387313,1.61723,61.180623,-8.376752
85.654985,1.919402,61.180446,-8.385578
85.922657,2.593311,61.18027,-8.394403
86.190329,3.709741,61.180092,-8.403229
86.458001,5.032722,61.179915,-8.412054
86.725673,7.553101,61.179737,-8.42088
86.993344,12.164937,61.17956,-8.429705
87.261016,15.376558,61.179383,-8.438531
87.528688,14.147303,61.179207,-8.447356
87.79636,10.591111,61.179029,-8.456182
88.064032,8.014157,61.178853,-8.465007
88.331703,6.282021,61.178675,-8.473833
88.599375,3.551534,61.178497,-8.482658
88.867047,1.96417,61.17832,-8.491484
89.134719,5.103021,61.178144,-8.500309
89.402391,10.408193,61.177967,-8.509135
89.670063,13.486073,61.177789,-8.51796
89.937734,14.839273,61.177612,-8.526786
90.205406,15.28049,61.177434,-8.535611
90.473078,16.990021,61.177257,-8.544437
90.74075,17.09437,61.17708,-8.553262
91.008422,13.20847,61.176903,-8.562088
91.276094,7.913076,61.176726,-8.570913
91.543765,16.461983,61.176548,-8.579739
91.811437,25.765764,61.176371,-8.588564
92.079109,30.419204,61.176194,-8.59739
92.346781,31.873224,61.176017,-8.606215
92.614453,31.709778,61.175839,-8.615041
92.882125,29.809278,61.175662,-8.623866
93.149796,22.879095,61.175485,-8.632692
93.417468,11.343414,61.175307,-8.641517
93.68514,19.245135,61.17513,-8.650343
93.952812,29.260071,61.174953,-8.659169
94.220484,31.042645,61.174775,-8.667994
94.488156,29.014461,61.174598,-8.67682
94.755827,27.671921,61.174421,-8.685645
95.023499,28.55353,61.174243,-8.694471
95.291171,30.23127,61.174066,-8.703296
95.558843,30.596168,61.173889,-8.712122
95.826515,28.717026,61.173711,-8.720947
96.094187,23.609572,61.173534,-8.729773
96.361858,15.18599,61.173356,-8.738598
96.62953,6.631691,61.173179,-8.747424
96.897202,3.066394,61.173002,-8.756249
97.164874,7.419103,61.172824,-8.765075
97.432546,13.271575,61.172648,-8.7739
97.700217,18.347564,61.17247,-8.782726
97.967889,19.438808,61.172292,-8.791551
98.235561,18.394664,61.172115,-8.800377
98.503233,18.306159,61.171937,-8.809202
98.770905,19.995418,61.17176,-8.818028
99.038577,22.462329,61.171582,-8.826853
99.306248,22.427673,61.171405,-8.835679
99.57392,19.656604,61.171228,-8.844504
99.841592,17.64644,61.17105,-8.85333
100.109264,18.867191,61.170872,-8.862155
100.376936,20.01209,61.170695,-8.870981
100.644608,19.118969,61.170517,-8.879806
100.912279,18.083497,61.17034,-8.888632
101.179951,18.358836,61.170162,-8.897457
101.447623,18.415047,61.169985,-8.906283
101.715295,17.613521,61.169807,-8.915108
101.982967,18.314862,61.169629,-8.923934
102.250639,19.86669,61.169453,-8.932759
102.51831,21.594462,61.169274,-8.941585
102.785982,25.034956,61.169097,-8.95041
103.053654,28.458057,61.168919,-8.959236
103.321326,30.183263,61.168741,-8.968061
103.588998,31.111798,61.168564,-8.976887
103.85667,31.255364,61.168387,-8.985712
104.124341,30.6073,61.168208,-8.994538
104.392013,29.565445,61.168031,-9.003363
104.659685,28.327644,61.167854,-9.012189
104.927357,27.39627,61.167675,-9.021014
105.195029,27.507624,61.167498,-9.02984
105.462701,27.561694,61.16732,-9.038665
105.730372,26.120557,61.167142,-9.047491
105.998044,23.148191,61.166965,-9.056316
106.265716,16.75873,61.166788,-9.065142
106.533388,15.570009,61.166609,-9.073967
106.80106,19.471251,61.166432,-9.082793
107.068731,18.317754,61.166254,-9.091618
107.336403,15.024575,61.166076,-9.100444
