position,FeO Abundance,lon,lat
0,8.739943,58.173335,-8.922583
0.261408,8.668959,58.18206,-8.922452
0.522817,8.354161,58.190786,-8.922321
0.784225,8.459632,58.199511,-8.92219
1.045634,8.558708,58.208236,-8.922059
1.307042,8.639774,58.216961,-8.921927
1.568451,8.868349,58.225687,-8.921795
1.829859,8.738901,58.234412,-8.921663
2.091268,8.599393,58.243137,-8.921531
2.352676,8.450743,58.251862,-8.921399
2.614085,8.689327,58.260588,-8.921266
2.875493,8.961497,58.269313,-8.921134
3.136901,8.855411,58.278038,-8.921001
3.39831,8.992114,58.286763,-8.920867
3.659718,8.868495,58.295489,-8.920734
3.921127,8.462293,58.304214,-8.9206
4.182535,8.458074,58.312939,-8.920467
4.443944,8.66811,58.321664,-8.920332
4.705352,8.82339,58.330389,-8.920198
4.966761,9.033323,58.339114,-8.920064
5.228169,9.236164,58.34784,-8.919929
5.489578,9.147724,58.356565,-8.919796
5.750986,8.906444,58.36529,-8.919659
6.012394,9.051745,58.374015,-8.919524
6.273803,8.751401,58.38274,-8.919389
6.535211,8.787922,58.391465,-8.919253
6.79662,8.887083,58.400191,-8.919117
7.058028,8.810649,58.408916,-8.918981
7.319437,9.07606,58.417641,-8.918845
7.580845,8.850741,58.426366,-8.91871
7.842254,9.400452,58.435091,-8.918572
8.103662,9.371869,58.443816,-8.918435
8.365071,9.262702,58.452541,-8.918298
8.626479,9.917448,58.461266,-8.918161
8.887887,9.327907,58.469991,-8.918023
9.149296,9.241016,58.478716,-8.917885
9.410704,9.153523,58.487441,-8.917748
9.672113,9.254827,58.496167,-8.91761
9.933521,9.54516,58.504892,-8.917471
10.19493,9.479606,58.513617,-8.917333
10.456338,9.437315,58.522342,-8.917194
10.717747,8.89757,58.531067,-8.917055
10.979155,8.956357,58.539792,-8.916916
11.240564,8.915649,58.548517,-8.916777
11.501972,9.151373,58.557242,-8.916637
11.76338,9.181266,58.565967,-8.916498
12.024789,9.17336,58.574692,-8.916358
12.286197,9.343034,58.583417,-8.916218
12.547606,9.414434,58.592142,-8.916077
12.809014,9.486567,58.600867,-8.915937
13.070423,9.291046,58.609592,-8.915796
13.331831,9.285907,58.618317,-8.915655
13.59324,9.123976,58.627042,-8.915514
13.854648,8.869945,58.635767,-8.915373
14.116057,9.121698,58.644492,-8.915231
14.377465,9.093339,58.653216,-8.915089
14.638873,8.979365,58.661941,-8.914947
14.900282,8.82783,58.670666,-8.914805
15.16169,9.042076,58.679391,-8.914663
15.423099,9.102873,58.688116,-8.91452
15.684507,8.900875,58.696841,-8.914378
15.945916,8.787277,58.705566,-8.914235
16.207324,8.851404,58.714291,-8.914091
16.468733,8.839614,58.723016,-8.913948
16.730141,8.586303,58.731741,-8.913804
16.99155,8.392631,58.740466,-8.913661
17.252958,8.485556,58.74919,-8.913517
17.514366,8.655362,58.757915,-8.913372
17.775775,8.811186,58.76664,-8.913228
18.037183,8.336551,58.775365,-8.913084
18.298592,8.014868,58.78409,-8.912939
18.56,7.894033,58.792815,-8.912794
18.821409,8.181448,58.801539,-8.912649
19.082817,8.124761,58.810264,-8.912503
19.344226,7.95097,58.818989,-8.912358
19.605634,7.816697,58.827714,-8.912212
19.867043,7.98021,58.836439,-8.912066
20.128451,8.25882,58.845163,-8.911919
20.389859,8.058853,58.853888,-8.911773
20.651268,8.092877,58.862613,-8.911626
20.912676,8.229495,58.871338,-8.91148
21.174085,8.113147,58.880063,-8.911333
21.435493,7.844474,58.888787,-8.911185
21.696902,8.190884,58.897512,-8.911038
21.95831,8.744402,58.906237,-8.91089
22.219719,8.138551,58.914961,-8.910742
22.481127,7.807732,58.923686,-8.910594
22.742536,7.627841,58.932411,-8.910446
23.003944,7.673627,58.941136,-8.910298
23.265352,7.719196,58.94986,-8.910149
23.526761,7.680004,58.958585,-8.91
23.788169,7.537347,58.96731,-8.909851
24.049578,7.463715,58.976034,-8.909702
24.310986,7.64365,58.984759,-8.909552
24.572395,7.759251,58.993484,-8.909403
24.833803,8.257995,59.002208,-8.909253
25.095212,8.071709,59.010933,-8.909103
25.35662,7.471369,59.019658,-8.908952
25.618029,7.402288,59.028382,-8.908802
25.879437,7.663497,59.037107,-8.908651
26.140845,7.574819,59.045832,-8.9085
26.402254,7.516415,59.054556,-8.908349
26.663662,7.578462,59.063281,-8.908198
26.925071,7.508444,59.072005,-8.908046
27.186479,7.31932,59.08073,-8.907895
27.447888,7.156373,59.089455,-8.907743
27.709296,7.118332,59.098179,-8.907591
27.970705,7.064386,59.106904,-8.907438
28.232113,7.110529,59.115628,-8.907286
28.493522,7.041636,59.124353,-8.907133
28.75493,6.777559,59.133077,-8.90698
29.016338,6.355039,59.141802,-8.906828
29.277747,6.019177,59.150527,-8.906674
29.539155,6.293118,59.159251,-8.90652
29.800564,6.50055,59.167976,-8.906367
30.061972,6.374574,59.1767,-8.906213
30.323381,6.609915,59.185425,-8.906058
30.584789,6.811039,59.194149,-8.905904
30.846198,6.898439,59.202874,-8.90575
31.107606,6.770113,59.211598,-8.905595
31.369015,6.739157,59.220323,-8.90544
31.630423,6.60512,59.229047,-8.905285
31.891831,6.856448,59.237772,-8.905129
32.15324,6.587389,59.246496,-8.904974
32.414648,6.328523,59.25522,-8.904818
32.676057,6.74006,59.263945,-8.904662
32.937465,6.314344,59.272669,-8.904506
33.198874,6.199681,59.281394,-8.904349
33.460282,6.990453,59.290118,-8.904193
33.721691,7.497375,59.298843,-8.904036
33.983099,6.637368,59.307567,-8.903879
34.244508,6.368934,59.316291,-8.903722
34.505916,6.455879,59.325016,-8.903564
34.767324,6.88912,59.33374,-8.903407
35.028733,6.558634,59.342465,-8.903249
35.290141,6.307217,59.351189,-8.903091
35.55155,6.357909,59.359913,-8.902933
35.812958,7.06004,59.368638,-8.902774
36.074367,7.852416,59.377362,-8.902616
36.335775,7.383018,59.386086,-8.902457
36.597184,7.058897,59.394811,-8.902298
36.858592,7.529198,59.403535,-8.902139
37.120001,7.731442,59.412259,-8.901979
37.381409,7.585785,59.420984,-8.90182
37.642817,7.381668,59.429708,-8.90166
37.904226,7.270431,59.438432,-8.9015
38.165634,7.257956,59.447156,-8.901341
38.427043,7.317006,59.455881,-8.901179
38.688451,7.443825,59.464605,-8.901019
38.94986,8.02671,59.473329,-8.900858
39.211268,7.84797,59.482054,-8.900698
39.472677,7.862941,59.490778,-8.900535
39.734085,8.358953,59.499502,-8.900374
39.995494,7.508332,59.508226,-8.900212
40.256902,6.912933,59.51695,-8.90005
40.51831,7.429234,59.525675,-8.899888
40.779719,7.336889,59.534399,-8.899726
41.041127,7.435948,59.543123,-8.899564
41.302536,8.140206,59.551847,-8.899401
41.563944,8.875105,59.560571,-8.899238
41.825353,8.241517,59.569296,-8.899075
42.086761,7.495311,59.57802,-8.898912
42.34817,7.797896,59.586744,-8.898748
42.609578,7.82183,59.595468,-8.898584
42.870987,7.490515,59.604192,-8.898421
43.132395,7.444602,59.612916,-8.898256
43.393803,7.905001,59.62164,-8.898092
43.655212,7.703805,59.630365,-8.897928
43.91662,7.198496,59.639089,-8.897763
44.178029,7.344032,59.647813,-8.897598
44.439437,7.554345,59.656537,-8.897433
44.700846,7.183318,59.665261,-8.897268
44.962254,6.818696,59.673985,-8.897102
45.223663,6.849714,59.682709,-8.896936
