position,Iron Abundance,lon,lat
0,8.780252,59.136418,-10.613374
0.2233,8.764172,59.142005,-10.608468
0.446601,8.748091,59.147592,-10.603562
0.669901,8.732011,59.153179,-10.598656
0.893202,8.715931,59.158766,-10.59375
1.116502,8.699852,59.164353,-10.588843
1.339803,8.683773,59.169939,-10.583937
1.563103,8.667693,59.175526,-10.57903
1.786404,8.651615,59.181112,-10.574124
2.009704,8.635537,59.186697,-10.569217
2.233005,8.619458,59.192283,-10.56431
2.456305,8.60338,59.197869,-10.559403
2.679606,8.587303,59.203454,-10.554496
2.902906,8.571225,59.209039,-10.549589
3.126207,8.555148,59.214624,-10.544682
3.349507,8.539071,59.220209,-10.539774
3.572808,8.522994,59.225794,-10.534867
3.796108,8.506918,59.231378,-10.529959
4.019409,8.490842,59.236963,-10.525052
4.242709,8.476205,59.242547,-10.520144
4.466009,8.465442,59.248131,-10.515236
4.68931,8.460466,59.253714,-10.510328
4.91261,8.455578,59.259298,-10.50542
5.135911,8.450777,59.264881,-10.500512
5.359211,8.446064,59.270465,-10.495604
5.582512,8.441438,59.276048,-10.490695
5.805812,8.436899,59.28163,-10.485787
6.029113,8.432449,59.287213,-10.480879
6.252413,8.428086,59.292796,-10.47597
6.475714,8.423811,59.298378,-10.471061
6.699014,8.419624,59.30396,-10.466152
6.922315,8.415524,59.309542,-10.461244
7.145615,8.411511,59.315124,-10.456335
7.368916,8.407586,59.320706,-10.451425
7.592216,8.403749,59.326287,-10.446516
7.815517,8.399999,59.331868,-10.441607
8.038817,8.396337,59.337449,-10.436698
8.262118,8.392762,59.34303,-10.431788
8.485418,8.389275,59.348611,-10.426878
8.708718,8.385876,59.354192,-10.421969
8.932019,8.382564,59.359772,-10.417059
9.155319,8.37934,59.365352,-10.412149
9.37862,8.376203,59.370932,-10.407239
9.60192,8.373154,59.376512,-10.402329
9.825221,8.370192,59.382092,-10.397419
10.048521,8.367318,59.387671,-10.392509
10.271822,8.364532,59.393251,-10.387598
10.495122,8.361833,59.39883,-10.382688
10.718423,8.359221,59.404409,-10.377777
10.941723,8.356698,59.409988,-10.372867
11.165024,8.354262,59.415566,-10.367956
11.388324,8.351912,59.421145,-10.363045
11.611625,8.349652,59.426723,-10.358134
11.834925,8.347478,59.432301,-10.353223
12.058226,8.345392,59.437879,-10.348312
12.281526,8.343394,59.443457,-10.343401
12.504827,8.341483,59.449035,-10.33849
12.728127,8.33966,59.454612,-10.333578
12.951427,8.337924,59.460189,-10.328667
13.174728,8.336276,59.465766,-10.323755
13.398028,8.334715,59.471343,-10.318843
13.621329,8.333242,59.47692,-10.313932
13.844629,8.331856,59.482497,-10.30902
14.06793,8.330558,59.488073,-10.304108
14.29123,8.329347,59.493649,-10.299196
