position,Titanium Abundance,lon,lat
0,0.522344,79.902372,-10.929497
0.169528,0.52332,79.90198,-10.935074
0.339057,0.524295,79.901586,-10.940652
0.508585,0.52527,79.901193,-10.946229
0.678114,0.526244,79.900799,-10.951806
0.847642,0.527217,79.900406,-10.957384
1.017171,0.52819,79.900013,-10.962961
1.186699,0.529162,79.899619,-10.968538
1.356228,0.530133,79.899225,-10.974116
1.525756,0.531104,79.89883,-10.979693
1.695285,0.532073,79.898438,-10.98527
1.864813,0.533043,79.898044,-10.990848
2.034342,0.533947,79.89765,-10.996425
2.20387,0.534157,79.897257,-11.002002
2.373398,0.534128,79.896862,-11.00758
2.542927,0.534099,79.89647,-11.013157
2.712455,0.53407,79.896076,-11.018734
2.881984,0.534041,79.895681,-11.024311
3.051512,0.534012,79.895288,-11.029889
3.221041,0.533984,79.894893,-11.035466
3.390569,0.533956,79.894501,-11.041043
3.560098,0.533928,79.894107,-11.046621
3.729626,0.533901,79.893713,-11.052198
3.899155,0.533873,79.893319,-11.057775
4.068683,0.533846,79.892924,-11.063353
4.238212,0.533819,79.89253,-11.06893
4.40774,0.533792,79.892138,-11.074507
4.577268,0.533766,79.891743,-11.080085
4.746797,0.53374,79.891349,-11.085662
4.916325,0.533713,79.890957,-11.091239
5.085854,0.533688,79.890562,-11.096817
5.255382,0.533662,79.890167,-11.102394
5.424911,0.533636,79.889774,-11.107971
5.594439,0.533611,79.88938,-11.113549
5.763968,0.533586,79.888986,-11.119126
5.933496,0.533561,79.888593,-11.124703
6.103025,0.533537,79.888197,-11.13028
6.272553,0.533512,79.887804,-11.135858
6.442082,0.533488,79.88741,-11.141435
6.61161,0.533464,79.887016,-11.147012
6.781139,0.533441,79.886623,-11.15259
6.950667,0.533417,79.886228,-11.158167
7.120195,0.533394,79.885833,-11.163744
7.289724,0.533371,79.885439,-11.169322
7.459252,0.533348,79.885045,-11.174899
7.628781,0.533325,79.884652,-11.180476
7.798309,0.533303,79.884257,-11.186054
7.967838,0.533281,79.883863,-11.191631
