position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
0,75.28747,-9.120361,6.650986,7.144431,1034.289372,7.696266,4.414819,8.172239,80.761956,4.096546,0.911399
0.159365,75.290029,-9.124969,7.336933,7.124269,1048.938327,7.700446,4.462333,7.297341,80.903393,4.873371,0.909759
0.318729,75.292587,-9.129578,6.671852,7.230089,1063.053337,7.704578,4.796536,7.885155,80.646456,4.794933,0.908116
0.478094,75.295146,-9.134186,5.272114,7.413727,1074.155744,7.708663,4.476613,10.505675,79.7456,4.508802,0.906469
0.637459,75.297704,-9.138795,5.57361,7.298304,1085.533971,7.712701,4.080805,10.270341,80.075243,5.469466,0.90482
0.796823,75.300263,-9.143404,6.366505,7.112915,1099.138405,7.716691,3.878833,9.063486,80.691176,7.017747,0.903168
0.956188,75.302822,-9.148012,6.341085,7.027635,1116.611488,7.720635,4.308733,8.169403,81.180779,7.844607,0.901513
1.115553,75.30538,-9.152621,6.079924,6.893877,1136.362267,7.724531,4.415732,7.658727,81.845616,7.972882,0.899855
1.274918,75.307939,-9.15723,7.220479,6.600934,1157.947427,7.72838,3.800483,6.326546,82.652489,8.689578,0.898194
1.434282,75.310498,-9.161838,7.155465,6.552812,1182.622885,7.732182,3.448971,6.724212,82.671352,10.438661,0.89653
1.593647,75.313057,-9.166447,6.466737,6.677995,1205.312519,7.735936,3.814467,7.314872,82.403924,10.847886,0.894864
1.753012,75.315616,-9.171055,6.761336,6.749204,1222.953042,7.739643,4.001631,7.013313,82.223721,9.894531,0.893194
1.912376,75.318175,-9.175663,5.642137,6.922058,1233.06779,7.743303,4.41012,8.083455,81.864288,9.422602,0.891522
2.071741,75.320735,-9.180271,5.914732,7.030462,1237.584242,7.746915,4.530349,8.238363,81.316554,8.944501,0.889846
2.231106,75.323294,-9.18488,7.705072,6.997705,1237.853709,7.750481,3.820859,7.50453,80.96954,8.062366,0.888168
2.39047,75.325854,-9.189488,9.551217,6.993464,1241.192443,7.753999,2.900695,6.987924,80.560166,6.979592,0.886486
2.549835,75.328412,-9.194097,11.188692,6.925204,1259.23068,7.75747,2.74962,5.438659,80.623027,5.399741,0.884802
2.7092,75.330972,-9.198705,10.790465,7.075937,1271.991047,7.760893,2.89278,6.212489,80.104268,2.804487,0.883115
2.868564,75.333531,-9.203314,12.414865,7.232187,1280.345939,7.764269,3.130518,5.038107,79.416512,2.000552,0.881425
3.027929,75.336091,-9.207922,12.177134,7.318241,1281.779595,7.767598,3.091243,5.577221,79.154402,4.350939,0.879732
3.187294,75.338651,-9.21253,12.533266,7.397391,1279.119264,7.77088,3.358491,5.206492,78.901751,6.205526,0.878036
3.346659,75.34121,-9.217139,12.81592,7.484545,1272.441732,7.774115,3.476542,5.10736,78.600178,6.033448,0.876337
3.506023,75.34377,-9.221747,9.677737,7.519883,1265.54129,7.777302,4.662474,6.523402,79.136387,4.846009,0.874635
3.665388,75.34633,-9.226355,7.406788,7.468365,1257.900077,7.780442,4.214521,9.081832,79.296859,3.401752,0.87293
3.824753,75.348891,-9.230963,6.494391,7.431571,1255.486593,7.783534,3.669426,10.456667,79.379519,2.050142,0.871223
3.984117,75.35145,-9.235571,7.239715,7.249774,1256.589744,7.78658,3.826447,8.929817,80.004024,1.495053,0.869512
4.143482,75.35401,-9.24018,9.367194,7.081079,1258.535356,7.789578,3.216579,7.172731,80.243494,0.86937,0.867799
4.302847,75.356571,-9.244787,7.500747,7.043373,1256.976876,7.792124,4.003756,7.503634,80.991863,0.668283,0.866082
4.462211,75.35913,-9.249396,7.402394,7.037606,1254.807526,7.792725,4.676586,6.769737,81.151284,1.883379,0.864363
4.621576,75.361691,-9.254004,6.545036,7.229658,1249.364213,7.791387,5.095648,7.618339,80.740978,2.471243,0.862641
4.780941,75.364251,-9.258612,5.677745,7.415763,1245.287887,7.790021,5.60538,8.403188,80.31369,2.191594,0.860915
4.940305,75.366812,-9.26322,6.545847,7.318166,1243.650336,7.788626,5.288237,7.604636,80.561281,1.23202,0.859187
5.09967,75.369372,-9.267828,8.183069,7.119618,1242.818154,7.787203,4.339986,6.74709,80.729857,0.836009,0.857456
5.259035,75.371932,-9.272436,8.664489,7.058385,1242.406108,7.785752,3.764032,6.915346,80.656135,2.338722,0.855722
5.418399,75.374494,-9.277044,9.449551,6.994273,1236.708155,7.784272,3.729232,5.9631,80.858117,3.889689,0.853985
5.577764,75.377054,-9.281652,10.484136,7.205349,1225.28386,7.782764,3.603756,5.984163,79.927945,3.992441,0.852245
5.737129,75.379615,-9.28626,9.661246,7.393647,1215.507518,7.781227,3.680701,7.443703,79.214349,2.179949,0.850503
5.896494,75.382176,-9.290868,8.651492,7.3747,1211.360165,7.779662,3.523022,8.576677,79.248809,0.47968,0.848757
6.055858,75.384736,-9.295476,8.888463,7.328103,1212.177824,7.778068,3.295415,8.49366,79.322461,0.727641,0.847008
6.215223,75.387297,-9.300084,8.966621,7.45663,1211.055829,7.776447,3.335496,8.884865,78.813017,1.804266,0.845257
6.374588,75.389858,-9.304692,10.797662,7.572955,1210.270492,7.774796,2.957189,8.134984,78.110164,2.999642,0.843502
6.533952,75.392419,-9.3093,13.074709,7.616697,1215.290206,7.773118,2.719777,6.587085,77.618429,4.042848,0.841745
6.693317,75.39498,-9.313908,13.88907,7.606009,1229.950485,7.771411,2.430165,6.190012,77.490751,4.78463,0.839985
6.852682,75.397541,-9.318516,13.795758,7.73673,1245.769387,7.769675,2.209574,7.086782,76.907882,4.864782,0.838221
7.012046,75.400103,-9.323124,13.531955,7.939529,1259.128302,7.767911,2.631754,7.594256,76.242034,4.778852,0.836455
7.171411,75.402664,-9.327732,11.785367,8.15211,1273.286258,7.766119,3.061902,9.398405,75.754328,5.096,0.834686
7.330776,75.405225,-9.332339,12.248385,7.775415,1287.973633,7.764298,2.544394,8.27173,76.935492,5.417162,0.832914
7.49014,75.407787,-9.336947,13.402183,7.407111,1302.024139,7.762449,2.520555,5.794296,78.282967,6.180411,0.831139
7.649505,75.410349,-9.341555,12.687234,7.460127,1320.909377,7.760572,2.867631,6.074843,78.370291,7.771387,0.829361
7.80887,75.41291,-9.346163,11.638969,7.654592,1343.356804,7.758666,3.193335,7.395781,77.771913,8.152526,0.82758
7.968235,75.415472,-9.350771,12.556234,7.653225,1367.767715,7.756732,3.249275,6.498441,77.696051,6.534253,0.825797
8.127599,75.418034,-9.355378,12.317081,7.522937,1381.213873,7.754769,3.592615,5.659883,78.43042,3.750653,0.82401
8.286964,75.420596,-9.359985,11.29894,7.555202,1383.997554,7.752778,3.818547,6.44186,78.440653,1.081797,0.82222
8.446329,75.423157,-9.364594,10.139869,7.482753,1382.65439,7.750759,3.447396,7.688658,78.724079,1.000741,0.820428
