Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_3,0,-51.53051,11.439401,27.349121,19.150007,-1063.881166,21.282273,6.95997,35.29061,30.4003,9.93215,5.234318
D_1_8_3,0.071586,-51.528545,11.440766,25.899245,19.187468,-1052.234597,21.280506,6.964869,36.784575,30.35131,11.508314,5.235383
D_1_8_3,0.143171,-51.52658,11.442132,28.337459,19.115656,-1037.348942,21.278745,6.957061,34.276092,30.429389,13.112105,5.236449
D_1_8_3,0.214757,-51.524615,11.443497,29.343524,18.970932,-1019.538451,21.276993,6.905362,32.804739,30.946375,13.933908,5.237515
D_1_8_3,0.286342,-51.52265,11.444862,26.977184,18.835295,-1000.803804,21.275251,6.833278,34.522318,31.667219,12.12195,5.238582
D_1_8_3,0.357928,-51.520685,11.446227,24.72583,18.847258,-987.389841,21.273517,6.816341,36.621243,31.836586,8.797261,5.239649
D_1_8_3,0.429513,-51.51872,11.447592,23.941761,18.929743,-978.886749,21.271792,6.921541,37.373478,31.76322,6.854692,5.240717
D_1_8_3,0.501099,-51.516755,11.448958,19.933245,18.892495,-972.347583,21.270075,7.492972,40.050891,32.522893,5.418671,5.241785
D_1_8_3,0.572684,-51.51479,11.450323,21.411425,18.843704,-966.884833,21.268367,8.59904,37.015247,32.974288,4.372613,5.242855
D_1_8_3,0.64427,-51.512825,11.451688,23.710738,18.859908,-961.528149,21.266667,6.803967,37.524963,31.960332,4.439761,5.243924
D_1_8_3,0.715855,-51.51086,11.453053,18.296309,18.904002,-955.141733,21.264976,6.769542,42.62956,32.304589,4.203936,5.244994
D_1_8_3,0.787441,-51.508894,11.454418,22.067065,18.99748,-950.125429,21.263294,6.85241,39.604628,31.475897,2.604564,5.246065
D_1_8_3,0.859026,-51.506929,11.455783,20.882989,18.97174,-949.429904,21.26162,6.859133,40.849202,31.408676,1.653865,5.247136
